n,Label,Shape,Material,Custom?,Shore 00 [/],Shore A [/],Shore D [/],"Gent, Shore A","Reuss, Shore A","Reuss, Shore D","Silicone, Shore 00","Silicone, Shore A","Silicone, Shore D",Modulus [Pa],Trials Recorded?,Radius [m],Notes
12,golf_ball,Sphere,Plastic,,,,67,,,8.24E+06,,,8.52E+08,8.50E+08,5,,https://www.precisionurethane.com/hardness-chart.html
178,plastic_sphere,Sphere,Plastic,,,,,,,,,,,2.35E+09,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=eb7a78f5948d481c9493a67f0d089646
16,plastic_apple,Sphere,Plastic,,,,55,,,6.22E+06,,,3.93E+08,3.15E+09,5,,https://www.vinidex.com.au/technical-resources/material-properties/pvc-properties/#:~:text=Elastic%20Modulus%20of%20PVC%2DO%20%E2%80%93%204000%20MPa
22,plastic_orange,Sphere,Plastic,,,,55,,,6.22E+06,,,3.93E+08,3.15E+09,5,,https://www.vinidex.com.au/technical-resources/material-properties/pvc-properties/#:~:text=Elastic%20Modulus%20of%20PVC%2DO%20%E2%80%93%204000%20MPa
24,plastic_pear,Sphere,Plastic,,,,55,,,6.22E+06,,,3.93E+08,3.15E+09,5,,https://www.vinidex.com.au/technical-resources/material-properties/pvc-properties/#:~:text=Elastic%20Modulus%20of%20PVC%2DO%20%E2%80%93%204000%20MPa
25,plastic_lemon,Sphere,Plastic,,,,55,,,6.22E+06,,,3.93E+08,3.15E+09,5,,https://www.vinidex.com.au/technical-resources/material-properties/pvc-properties/#:~:text=Elastic%20Modulus%20of%20PVC%2DO%20%E2%80%93%204000%20MPa
26,plastic_peach,Sphere,Plastic,,,,55,,,6.22E+06,,,3.93E+08,3.15E+09,5,,https://www.vinidex.com.au/technical-resources/material-properties/pvc-properties/#:~:text=Elastic%20Modulus%20of%20PVC%2DO%20%E2%80%93%204000%20MPa
114,wooden_sphere,Sphere,Wood,,,,,,,,,,,1.00E+10,5,,"Pine, https://www.engineeringtoolbox.com/timber-mechanical-properties-d_1789.html"
104,pool_ball,Sphere,Ceramic,,,,,,,,,,,1.05E+10,5,,https://www.altairuniversity.com/wp-content/uploads/2012/08/Example_9.pdf
54,marble_big,Sphere,Glass,,,,,,,,,,,6.70E+10,5,,https://www.engineeringtoolbox.com/young-modulus-d_417.html
55,marble_medium,Sphere,Glass,,,,,,,,,,,6.70E+10,5,,https://www.engineeringtoolbox.com/young-modulus-d_417.html
56,marble_small,Sphere,Glass,,,,,,,,,,,6.70E+10,5,,https://www.engineeringtoolbox.com/young-modulus-d_417.html
59,steel_ball_big,Sphere,Metal,,,,,,,,,,,2.20E+11,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=6d63108ce26941c2935af2e1641c818b&ckck=1
60,steel_ball_small,Sphere,Metal,,,,,,,,,,,2.20E+11,5,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=6d63108ce26941c2935af2e1641c818b&ckck=1
